,names
860,Helvella queletii
861,Helvella sp
862,Helvella stevensii
863,Helvella sulcata
864,Helvella vespertina
865,Helvella villosa
866,Hemimycena cucullata
867,Hemimycena lactea
868,Hemimycena pseudolactea
869,Hemitrichia serpula
870,Hericium cirrhatum
871,Hericium coralloides
872,Hericium erinaceus
873,Heterobasidion annosum
874,Higrocybe pratensis
875,Hohenbuehelia auriscalpium
876,Hohenbuehelia geogenia
877,Hohenbuehelia petaloides
878,Hortiboletus bubalinus
879,Hortiboletus rubellus
880,Humaria aurantia
881,Humaria hemisphaerica
882,Humidicutis calyptriformis
883,Hydnangium carneum
884,Hydnellum aurantiacum
885,Hydnellum caeruleum
886,Hydnellum compactum
887,Hydnellum ferrugineum
888,Hydnellum peckii
889,Hydnellum scrobiculatum
890,Hydnellum spongiosipes
891,Hydnellum suaveolens
892,Hydnocystis bombycina
893,Hydnotrya carnea
894,Hydnotrya tulasnei
895,Hydnum albidum
896,Hydnum amicum
897,Hydnum repandum
898,Hydnum rufescens
899,Hygrocybe acuta
900,Hygrocybe aurantiosplendens
901,Hygrocybe calyptraeformis
902,Hygrocybe cantharellus
903,Hygrocybe chlorophana
904,Hygrocybe citrina
905,Hygrocybe coccinea
906,Hygrocybe conica
907,Hygrocybe conicoides
908,Hygrocybe flavescens
909,Hygrocybe ingrata
910,Hygrocybe intermedia
911,Hygrocybe laeta
912,Hygrocybe marchii
913,Hygrocybe miniata
914,Hygrocybe murinacea
915,Hygrocybe obrussea
916,Hygrocybe ovina
917,Hygrocybe persistens
918,Hygrocybe psittacina
919,Hygrocybe punicea
920,Hygrocybe reidii
921,Hygrocybe russocoriacea
922,Hygrocybe sciophana
923,Hygrocybe strangulata
924,Hygrocybe tristis
925,Hygrocybe turunda
926,Hygrocybe unguinosa
927,Hygrocybe virginea
928,Hygrophoropsis aurantiaca
929,Hygrophorus agathosmus
930,Hygrophorus arbustivus
931,Hygrophorus atramentosus
932,Hygrophorus aureus
933,Hygrophorus camarophyllus
934,Hygrophorus chrysodon
935,Hygrophorus cossus
936,Hygrophorus discoideus
937,Hygrophorus discoxanthus
938,Hygrophorus eburneus
939,Hygrophorus erubescens
940,Hygrophorus gliocyclus
941,Hygrophorus hedrychii
942,Hygrophorus hyacinthinus
943,Hygrophorus hypothejus
944,Hygrophorus latitabundus
945,Hygrophorus lindtneri
946,Hygrophorus lucorum
947,Hygrophorus marzuolus
948,Hygrophorus marzuolus var. alba
949,Hygrophorus melizeus
950,Hygrophorus nemoreus
951,Hygrophorus olivaceoalbus
952,Hygrophorus penarius
953,Hygrophorus persoonii
954,Hygrophorus poetarum
955,Hygrophorus pseudodiscoideus
956,Hygrophorus pudorinus
957,Hygrophorus roseodiscoideus
958,Hygrophorus russula
959,Hygrophorus speciosus
960,Hygrophorus tephroleucus
961,Hymenochaete cinnamomea
962,Hymenochaete rubiginosa
963,Hymenochaete tabacina
964,Hymenogaster griseus
965,Hymenogaster luteus
966,Hymenogaster olivaceus
967,Hymenogaster populetorum
968,Hymenogaster thwaitesii
969,Hymenoscyphus calyculus
970,Hymenoscyphus conscriptum
971,Hymenoscyphus fructigenus
972,Hymenoscyphus immutabilis
973,Hymenoscyphus monticola
974,Hymenoscyphus serotinus
975,Hymenostilbe muscaria
976,Hypholoma capnoides
977,Hypholoma fasciculare
978,Hypholoma lateritium
979,Hypholoma marginatum
980,Hypholoma radicosum
981,Hypholoma sublateritium
982,Hypomyces lateritius
983,Hypoxylon cohaerens
984,Hypoxylon fragiforme
985,Hypoxylon fuscum
986,Hypoxylon multiforme
987,Hypoxylon rutilum
988,Hypsizygus marmoreus
989,Hypsizygus tessellatus
990,Hypsizygus tessulatus
991,Hypsizygus ulmarius
992,Hysterangium clathroides
993,Hysterangium inflatum
994,Imleria badia
995,Imperator luteocupreus
996,Imperator rhodopurpureus
997,Imperator torosus
998,Infundibulicybe geotropa
999,Infundibulicybe gibba
1000,Inocybe asterospora
1001,Inocybe aurantiobrunnea
1002,Inocybe calamistrata
1003,Inocybe cookei
1004,Inocybe erubescens
1005,Inocybe fibrosa
1006,Inocybe flocculosa
1007,Inocybe fraudans
1008,Inocybe friesii
1009,Inocybe fuscidula
1010,Inocybe geophylla
1011,Inocybe godeyi
1012,Inocybe hystrix
1013,Inocybe impexa
1014,Inocybe jurana
1015,Inocybe lacera
1016,Inocybe maculata
1017,Inocybe patouillardii  
1018,Inocybe pelargonium
1019,Inocybe posterula
1020,Inocybe praetervisa
1021,Inocybe pudica
1022,Inocybe queletii
1023,Inocybe rimosa
1024,Inocybe sambucina
1025,Inocybe sindonia
1026,Inocybe sp
1027,Inocybe squamata
1028,Inocybe umbrina
1029,Inocybe vulpinella
1030,Inonotus dryadeus
1031,Inonotus hispidus
1032,Inonotus rheades
1033,Inonotus tamaricis
1034,Iodophanus testaceus
1035,Ischnoderma benzoinum
1036,Kalaharituber pfeilii
1037,Kallistoskypha incarnata
1038,Kretzschmaria deusta
1039,Kuehneromyce mutabilis
1040,Kuehneromyces  mutabilis
1041,Labyrinthomyces donkii
1042,Laccaria affinis
1043,Laccaria altaica
1044,Laccaria amethystina
1045,Laccaria bicolor
1046,Laccaria farinacea
1047,Laccaria fraterna
1048,Laccaria laccata
1049,Laccaria montana
1050,Laccaria proxima
1051,Laccaria tortilis
1052,Lachnellula subtilissima
1053,Lachnum cerinum
1054,Lachnum mollissimus
1055,Lachnum niveus
1056,Lachnum sulphureum
1057,Lachnum virgineum
1058,Lacrymaria lacrymabunda
1059,Lactarius
1060,Lactarius acerrimus
1061,Lactarius acris
1062,Lactarius aquizonatus
1063,Lactarius atlanticus
1064,Lactarius aurantiacus
1065,Lactarius azonites
1066,Lactarius badiosanguineus
1067,Lactarius blennius
1068,Lactarius blumii
1069,Lactarius britannicus
1070,Lactarius camphoratus
1071,Lactarius chrysorrheus
1072,Lactarius circellatus
1073,Lactarius cistophilus
1074,Lactarius citriolens
1075,Lactarius controversus
1076,Lactarius curtus
1077,Lactarius decipiens
1078,Lactarius deliciosus
1079,Lactarius deterrimus
1080,Lactarius evosmus
1081,Lactarius fluens
